frame_num,a,b,c,d
0,25.368209838867188,119.07940673828125,25.21289825439453,119.1823959350586
1,29.458900451660156,100.42562103271484,29.20400047302246,100.47879791259766
2,61.87939453125,197.04498291015625,61.642696380615234,197.05430603027344
3,21.847835540771484,146.32952880859375,22.237077713012695,146.28323364257812
4,68.42103576660156,147.9479522705078,68.27455139160156,147.87249755859375
5,66.09013366699219,134.59320068359375,66.02849578857422,134.11097717285156
6,110.6926040649414,146.91477966308594,109.65816497802734,146.20855712890625
7,216.48179626464844,7.299190521240234,216.789306640625,7.6150665283203125
